iter	Passed	Remaining
0	153	153387
1	154	77197
2	156	51982
3	157	39206
4	158	31525
5	159	26390
6	160	22742
7	161	19990
8	162	17852
9	163	16146
10	164	14750
11	164	13576
12	165	12589
13	166	11742
14	168	11053
15	169	10434
16	170	9871
17	171	9359
18	172	8903
19	173	8489
20	174	8116
21	174	7779
22	176	7476
23	177	7198
24	178	6942
25	178	6699
26	179	6478
27	180	6273
28	181	6080
29	182	5913
30	184	5754
31	185	5598
32	186	5450
33	186	5309
34	187	5174
35	188	5048
36	189	4927
37	190	4815
38	191	4711
39	192	4615
40	193	4518
41	194	4427
42	195	4342
43	196	4263
44	197	4199
45	199	4131
46	200	4058
47	201	3987
48	202	3921
49	202	3856
50	203	3793
51	204	3731
52	205	3671
53	206	3614
54	207	3559
55	208	3507
56	208	3456
57	209	3409
58	211	3369
59	212	3326
60	213	3287
61	214	3246
62	215	3205
63	216	3164
64	217	3127
65	218	3090
66	219	3053
67	220	3018
68	221	2984
69	222	2950
70	223	2918
71	224	2889
72	225	2865
73	227	2851
74	229	2825
75	229	2796
76	230	2767
77	231	2740
78	232	2713
79	233	2689
80	234	2664
81	235	2641
82	236	2612
83	237	2590
84	238	2569
85	239	2549
86	241	2531
87	242	2511
88	243	2494
89	244	2473
90	245	2453
91	246	2432
92	247	2411
93	248	2391
94	249	2372
95	249	2353
96	250	2334
97	251	2316
98	252	2298
99	253	2281
100	254	2264
101	255	2249
102	257	2240
103	258	2229
104	259	2214
105	260	2200
106	261	2185
107	262	2169
108	263	2154
109	264	2140
110	265	2126
111	266	2113
112	267	2099
113	268	2086
114	269	2073
115	270	2059
116	271	2049
117	272	2038
118	274	2029
119	274	2016
120	276	2005
121	276	1992
122	278	1982
123	279	1971
124	280	1962
125	281	1951
126	282	1939
127	283	1929
128	284	1920
129	285	1909
130	286	1901
131	287	1893
132	289	1884
133	289	1874
134	290	1864
135	291	1854
136	293	1845
137	294	1837
138	295	1828
139	296	1819
140	297	1811
141	298	1800
142	299	1792
143	300	1783
144	301	1778
145	302	1771
146	304	1765
147	305	1757
148	306	1749
149	307	1741
150	308	1734
151	309	1726
152	310	1719
153	311	1711
154	312	1703
155	313	1696
156	314	1689
157	315	1682
158	317	1678
159	318	1673
160	319	1665
161	320	1657
162	321	1650
163	322	1643
164	323	1637
165	324	1629
166	325	1622
167	326	1616
168	327	1609
169	328	1603
170	329	1596
171	330	1590
172	331	1585
173	332	1580
174	334	1574
175	335	1568
176	336	1562
177	337	1556
178	337	1550
179	338	1544
180	339	1538
181	340	1532
182	341	1526
183	342	1520
184	343	1514
185	344	1508
186	345	1502
187	347	1499
188	348	1495
189	349	1489
190	350	1484
191	351	1478
192	352	1472
193	352	1466
194	354	1461
195	355	1456
196	356	1452
197	357	1447
198	358	1442
199	359	1438
200	360	1434
201	362	1432
202	364	1429
203	365	1424
204	366	1419
205	367	1415
206	368	1410
207	369	1406
208	370	1401
209	371	1397
210	372	1392
211	373	1388
212	374	1383
213	375	1379
214	378	1383
215	380	1379
216	381	1375
217	382	1371
218	383	1366
219	384	1361
220	385	1357
221	386	1353
222	387	1348
223	388	1344
224	389	1340
225	390	1336
226	391	1332
227	392	1329
228	394	1327
229	395	1323
230	396	1319
231	397	1315
232	398	1311
233	399	1307
234	400	1303
235	401	1299
236	402	1296
237	403	1292
238	404	1288
239	405	1284
240	406	1280
241	408	1280
242	409	1277
243	411	1273
244	412	1270
245	413	1266
246	414	1262
247	415	1259
248	416	1255
249	417	1251
250	418	1248
251	419	1244
252	420	1240
253	421	1236
254	423	1236
255	425	1235
256	426	1233
257	427	1230
258	428	1227
259	429	1223
260	430	1219
261	432	1216
262	433	1214
263	434	1212
264	436	1209
265	441	1217
266	442	1214
267	443	1211
268	444	1208
269	445	1205
270	447	1203
271	448	1200
272	449	1197
273	451	1195
274	453	1195
275	455	1194
276	457	1195
277	459	1193
278	460	1190
279	461	1187
280	463	1184
281	464	1181
282	465	1178
283	466	1175
284	467	1172
285	469	1171
286	470	1169
287	471	1166
288	473	1163
289	474	1160
290	475	1157
291	476	1155
292	477	1152
293	478	1149
294	479	1146
295	480	1143
296	482	1141
297	483	1139
298	486	1140
299	488	1139
300	490	1139
301	492	1137
302	493	1134
303	494	1132
304	495	1129
305	496	1126
306	498	1125
307	503	1132
308	505	1130
309	506	1127
310	507	1124
311	508	1121
312	510	1119
313	511	1117
314	512	1114
315	513	1112
316	518	1116
317	519	1113
318	521	1112
319	522	1111
320	524	1109
321	527	1110
322	528	1108
323	536	1120
324	548	1138
325	550	1137
326	551	1134
327	556	1140
328	557	1137
329	562	1141
330	564	1140
331	565	1137
332	567	1136
333	568	1134
334	569	1131
335	571	1128
336	572	1126
337	573	1123
338	574	1120
339	576	1118
340	578	1117
341	581	1118
342	582	1116
343	585	1116
344	586	1114
345	588	1112
346	590	1110
347	592	1109
348	597	1113
349	598	1111
350	600	1109
351	601	1107
352	604	1108
353	607	1107
354	611	1111
355	614	1110
356	615	1109
357	618	1108
358	619	1106
359	620	1103
360	622	1101
361	623	1098
362	626	1099
363	627	1096
364	628	1093
365	630	1091
366	631	1089
367	632	1086
368	634	1084
369	635	1081
370	636	1079
371	638	1077
372	642	1079
373	644	1078
374	646	1076
375	647	1074
376	648	1071
377	649	1069
378	650	1066
379	652	1063
380	653	1061
381	654	1059
382	656	1058
383	658	1055
384	659	1053
385	661	1051
386	662	1049
387	663	1047
388	665	1045
389	666	1042
390	667	1040
391	669	1037
